Do it again!	Recommencez !
I built it.	Je l'ai construit.
We have a deal.	Nous avons un accord.
Let's move.	On met les voiles.
Tom was fired.	Thomas a été licencié.
Stay calm.	Gardez votre calme.
Shame on you!	Honte à toi !
I'm out of gas.	Je suis à court d'essence.
Tom is working.	Tom est en train de travailler.
I met them.	Je les ai rencontrés.
That's crazy.	C'est fou.
Don't leave me.	Ne me quitte pas.
He let us go.	Il nous laissa nous en aller.
Is this art?	Est-ce de l'art ?
Come on in!	Entre donc !
We're here.	Nous sommes ici.
You're sloshed.	T'es bourré.
My nose itches.	Le nez me gratte.
Run for it!	Sauve-toi !
I'm pooped.	Je suis crevé.
We're popular.	Nous sommes populaires.
I didn't do it.	Je ne l'ai pas fait.
It's a problem.	C'est un problème.
It may break.	Il pourrait se briser.
Ask around.	Demandez alentour !
Tom is starved.	Tom est affamé.
This will help.	Ça va aider.
Don't touch it.	Ne touche pas à ça.
Don't you care?	N'en avez-vous rien à faire ?
It's not mine.	Ce n'est pas la mienne.
Tom loves that.	Tom aime cela.
He was brave.	Il était brave.
Are you blind?	Êtes-vous aveugle ?
Who's hungry?	Qui a faim ?
I love to fish.	J'adore pêcher.
Clean your room.	Nettoyez votre chambre !
We're sad.	Nous sommes tristes.
Don't worry.	Ne vous en faites pas.
I don't smoke.	Je ne fume pas.
We survived.	Nous survécûmes.
Tom likes it.	Tom aime ça.
What if I fail?	Que se passe-t-il si j'échoue ?
We've seen her.	Nous l'avons vue.
We all laughed.	Nous rîmes tous.
You're tough.	Vous êtes durs.
Tom is packing.	Tom fait ses bagages.
Tom is nodding.	Tom fait un signe de tête.
Tom was silent.	Tom se taisait.
Tom is vague.	Tom est vague.
Leave it to me.	Laissez-moi m'en occuper.
Are you sure?	Êtes-vous sûrs ?
Are you on dope?	Êtes-vous droguée ?
Anyone hurt?	Quiconque est-il blessé ?
We're fine.	Nous allons bien.
I play squash.	Je joue au squash.
Tom's useless.	Tom est bon à rien.
He can come.	Il peut venir.
You're mean.	Tu es méchante.
Keep working.	Continue à travailler !
I'll quit.	J'abandonnerai.
This is new.	C'est nouveau.
I'm happy, too.	Je suis également heureuse.
Tom sat calmly.	Tom s'assit calmement.
Let him in.	Laissez-le entrer.
I made two.	J'en ai fait deux.
Remember it.	Mémorise ceci.
It's true!	C'est vrai !
I'll save you.	Je vous sauverai.
I went twice.	Je m'y suis rendu à deux reprises.
I'm fast.	Je suis rapide.
Slow down.	Calmos !
Bring a lunch.	Apporte à déjeuner !
Tom testified.	Tom a témoigné.
You're tough.	Tu es dure.
Don't waste it.	Ne le gaspille pas.
I'm not dying.	Je ne suis pas en train de mourir.
I'm trying.	Je m'y essaie.
Be a good boy.	Sois un chic type !
You're a doll!	Tu es un amour !
You're early.	Tu es en avance.
I like trains.	J'aime les trains.
Step forward.	Fais un pas en avant.
You're late.	Tu es en retard.
There you are.	Vous y voici.
Tom saw us.	Tom nous a vu.
Be discreet.	Soyez discrète !
I'm brave.	Je suis courageuse.
Take a bath.	Prends un bain !
What's this?	Qu'est-ce que c'est ?
I corrected it.	Je l'ai corrigé.
I'm overworked.	Je suis surchargée de travail.
I don't get it.	Ça m'échappe.
She had twins.	Elle eut des jumeaux.
They have come.	Elles sont arrivées.
Is that pizza?	C'est de la pizza ?
Sit near here.	Assieds-toi près d'ici !
Please vote.	Merci de voter.
Tom is rude.	Tom est impoli.
It was working.	Il fonctionnait.
Be supportive.	Soyez solidaire.
Let me explain.	Laissez-moi expliquer.
Tom obeyed.	Tom a obéi.
Is that true?	C'est vrai ?
I like opera.	J'apprécie l'opéra.
You seem happy.	Vous semblez heureux.
Go ahead.	Passe devant !
Get down.	Lâche-toi !
Who built it?	Qui l'a bâti ?
I told you so.	Je vous l'ai dit !
I got arrested.	On m'a arrêté.
Everyone left.	Tout le monde est parti.
Tom felt sick.	Tom se sentit mal à l'aise.
They're mine.	Elles sont miennes.
Tom is stunned.	Tom est stupéfait.
I'm certain.	Je suis sûr.
You look upset.	Tu as l'air contrarié.
I'm sleepy!	J'ai sommeil !
What a miracle!	Quel miracle !
Be specific.	Sois spécifique.
I'll try again.	Je vais réessayer.
I don't date.	Je ne sors pas avec des garçons.
I despise you.	Je te méprise.
Is that so bad?	Est-ce tellement mal ?
That is all.	C'est tout.
He's broke.	Il est ruiné.
Stay in bed.	Restez alitée !
Get well soon!	Bon rétablissement.
He has a beard.	Il porte une barbe.
You're a prude.	Vous êtes un puritain.
We love them.	Nous les aimons.
Ask Tom again.	Demande encore à Tom.
We were joking.	Nous plaisantions.
I heard voices.	J'ai entendu des voix.
I smiled.	J'ai souri.
We're winning.	Nous sommes en train de gagner.
You're foolish.	Tu es imprudent.
They were dead.	Elles étaient mortes.
That was cool.	C'était cool.
Be respectful.	Soyez respectueuses !
We were busy.	Nous étions occupés.
Tom took over.	Tom a pris le relais.
I'm free today.	Je suis libre aujourd'hui.
I'm not mean.	Je ne suis pas méchant.
Did you go out?	Êtes-vous sorties ?
It's mine.	C'est la mienne.
Get away!	Casse-toi.
Grab a seat.	Prends-toi un siège !
I kept my word.	J'ai tenu parole.
Dinner's at six.	Le dîner est à six heures.
I feel funny.	Je me sens drôle.
Can you see?	Arrivez-vous à voir ?
Are you kidding?	Plaisantez-vous ?
Can you pitch?	Sais-tu donner le ton ?
I read lips.	Je lis sur les lèvres.
Did you drop it?	L'as-tu abandonné ?
He feels hurt.	Il se sent blessé.
Terrific!	Bien.
Play it cool.	Joue-la pépère.
I feel my age.	Mon âge me pèse.
It's dead.	Elle est morte.
That's simple.	C'est simple.
Destroy it.	Détruisez-la.
School's out.	L'école est terminée.
I'm not here.	Je ne suis pas ici.
Who's watching?	Qui regarde ?
Kids are cruel.	Les enfants sont cruels.
We surrender.	Nous nous rendons.
We're buying.	Nous achetons.
Pair up.	Faites équipe.
I was sorry.	Je fus désolé.
Hand it over.	Remets-le.
Let the boy go.	Laisse le garçon partir.
Be prepared.	Soyez préparés !
We volunteered.	Nous nous sommes portées volontaires.
What a scream!	Quel cri !
Well, let's go.	Eh bien, allons-y.
She got caught.	Elle se fit prendre.
Let me go!	Laissez-moi m'en aller !
Talk to Tom.	Parle à Tom !
Stop quibbling.	Arrête d'ergoter.
Bring the kids.	Amène les enfants.
Do we know you?	Vous connaissons-nous ?
Tom's arrived.	Tom est arrivé.
Now drink up.	Maintenant, bois d'un coup !
He got angry.	Il s'est fâché.
I let them go.	Je les ai laissés s'en aller.
I have no idea.	Aucune idée.
Please sit.	Asseyez-vous, je vous prie.
Is Tom here?	Tom est ici ?
That's a plan.	C'est un plan.
Tom left.	Tom partit.
No one cheated.	Personne n'a triché.
I need proof.	J'ai besoin de preuves.
Whose is that?	À qui est-ce ?
Go ahead.	Avance !
Hang in there!	Accrochez-vous !
Can I go, too?	Est-ce que je peux y aller aussi ?
I'll handle it.	Je m'en chargerai.
I'll get help.	J'obtiendrai de l'aide.
You're stuck.	Vous êtes planté.
I love skiing.	J'aime beaucoup skier.
Tom is high.	Tom est défoncé.
Tom is voting.	Tom vote.
No kidding?	Vraiment ?
Don't be upset.	Ne soyez pas contrariés !
You go first.	Je vous en prie.
Is this blue?	Est-ce bleu ?
Let me hear it.	Laissez-moi l'entendre.
Keep trying.	Continue d'essayer.
Are you sleepy?	Avez-vous sommeil ?
I'm engaged.	Je suis fiancé.
You want this?	Voulez-vous ceci ?
She looked ill.	Elle semblait malade.
No one cared.	Personne ne s'en souciait.
Act like a man.	Agissez en homme.
We're not open.	Nous ne sommes pas ouvertes.
Let Tom answer.	Laissez Tom répondre.
Tom was dirty.	Tom était pourri.
Choose me.	Choisis-moi !
They're bad.	Ils sont mauvais.
I phoned.	Je téléphonai.
A car hit Tom.	Tom a été heurté par une voiture.
I believed you.	Je t'ai crue.
I was hired.	J'ai été engagé.
He's a senior.	C'est un ancien.
Tom saw Mary.	Tom a vu Mary.
You're sneaky.	Vous êtes sournois.
Don't fret.	Vous tracassez pas.
Stop reading.	Arrêtez de lire.
I'm unhappy.	Je suis mécontente.
Go fly a kite.	Fiche le camp.
Tom is vain.	Tom est vaniteux.
Tom is neat.	Tom est très soigné.
I refuse.	Je refuse.
Go to bed.	Au dodo !
The war ended.	La guerre prenait fin.
I didn't walk.	Je n'ai pas marché.
I hate you.	Je te déteste.
You have to go.	Tu dois y aller.
I was bored.	Je m'ennuyais.
You're cruel.	Vous êtes cruel.
I'm humble.	Je suis humble.
He walked away.	Il est parti.
I have a pen.	J’ai un stylo.
I guess not.	Je suppose que non.
Tom grumbled.	Tom grognait.
I won't go.	Je n'irai pas.
Why not both?	Pourquoi pas les deux ?
Let's go now.	Allons-y maintenant.
I must hurry.	Je dois me grouiller.
Keep moving.	Continuez d'avancer.
Tom shut up.	Tom s'est tu.
I found it.	Je le trouvai.
Who broke it?	Qui l'a cassé ?
I hate fish.	Je déteste le poisson.
You'd like Tom.	Vous aimeriez Tom.
I love sunsets.	J'adore les couchers de soleil.
I'm very fast.	Je suis très rapide.
What for?	À quoi bon ?
Try to resist.	Essaye de résister.
He was stunned.	Il était paralysé.
Tom is cynical.	Tom est cynique.
Tom was frank.	Tom était sincère.
Take notes.	Prends des notes.
That's my beer.	C'est ma bière.
I have to try.	Il me faut essayer.
Are you afraid?	Avez-vous peur ?
Who lost?	Qui a perdu ?
I didn't win.	Je ne l'ai pas emporté.
Close the box.	Fermez la boîte.
I had a dream.	J'ai rêvé.
I am so sick.	C'est moi qui suis si malade.
Tell Tom.	Dis-le à Tom.
It's business.	Ce sont les affaires.
I was worried.	J'étais inquiète.
Are you bald?	Êtes-vous chauves ?
Ask me tomorrow.	Demandez-moi demain.
Let Tom leave.	Laisse Tom partir.
I'm loaded.	Je suis saoul.
We're hot.	Nous avons chaud.
Tom was stoned.	Tom a été lapidé.
It's a rule.	C'est une règle.
I quit.	J'ai arrêté.
Walk with us.	Marchez avec nous.
Hurry up, guys.	Magnez-vous, les mecs !
Be merciful.	Soyez miséricordieux !
That is mine.	C'est la mienne.
Eat something.	Mangez quelque chose !
I'm relaxed.	Je suis détendu.
I told you so.	Je te l'avais dit !
I came for you.	Je suis venu pour toi.
Do it again!	Faites-le à nouveau !
Tom is dancing.	Tom danse.
Were you happy?	Étiez-vous heureuse ?
Whose is it?	À qui est-ce ?
This is yours.	C'est le tien.
Let me check.	Laissez-moi vérifier.
I'm ugly.	Je suis laid.
They're armed.	Ils sont armés.
Stop yelling!	Cessez de hurler !
I will sue you.	Je te ferai un procès.
Stay away.	Reste à l'écart.
I'm not ugly.	Je ne suis pas laid.
Men are pigs.	Les hommes sont des cochons.
Be objective.	Sois objectif.
Bring it closer.	Amenez-le plus près.
I can fly.	Je sais voler.
Tom knows Mary.	Tom connaît Mary.
Well done, Tom.	Bien joué, Tom.
Who's singing?	Qui chante ?
I'm so sorry.	Je suis tellement désolée !
Who would care?	Qui s'en soucierait ?
Examine them.	Examinez-les.
Allow me to go.	Permets-moi d'y aller !
I like lobster.	J'aime le homard.
They're dying.	Elles sont en train de mourir.
Come on.	Allez !
Don't resist.	Ne résiste pas !
You're crafty.	Tu es astucieux.
Turn around.	Fais demi-tour.
I'm buying.	C'est moi qui paie.
Can you see?	Arrives-tu à voir ?
I'm unbiased.	Je suis impartiale.
I smell coffee.	Je sens le café.
Who's that?	Qui est-ce ?
Tom is calm.	Tom est tranquille.
Tom will live.	Tom va vivre.
You're drunk.	Vous êtes saouls.
I feel faint.	Je me sens mal.
You're a child.	Vous êtes une enfant.
Get out.	Sors !
They're bored.	Elles s'ennuient.
Head east.	Dirige-toi vers l'est.
I'm fat.	Je suis gros.
I'll pay later.	Je payerai plus tard.
I'm loyal.	Je suis loyal.
Yes, we can go.	Oui, nous pouvons y aller.
I like cats.	J’aime les chats.
Give me a beer.	Donnez-moi une bière.
Are you happy?	Es-tu contente ?
Don't ramble.	Ne radote pas.
Tom got bit.	Tom a été mordu.
I'm short.	Je suis petite.
We ate eggs.	Nous mangions des œufs.
It's fun.	C'est rigolo.
You're too old.	Tu es trop vieille.
Forget it!	Oubliez !
Can you pitch?	Savez-vous donner le ton ?
This works.	Ça fonctionne.
We like Tom.	Nous apprécions Tom.
Be content.	Soyez satisfaite !
Are you tall?	Êtes-vous grande ?
They're ugly.	Ils sont moches.
I felt cheated.	Je me sentis trompée.
That's normal.	C'est normal.
He can't drive.	Il ne peut pas conduire.
I lost my key.	Je perdis la clef.
Be prepared.	Soyez préparé !
I got carded.	On m'a demandé ma carte d'identité pour vérifier mon âge.
I handled it.	J'ai géré.
Be respectful.	Soyez respectueuse !
It's too big.	C'est trop grand.
I feel strange.	Je me sens bizarre.
Bring that here.	Apporte ça ici.
Watch closely.	Regardez de près !
I always walk.	Je marche toujours.
I tried.	J'ai tenté.
She blushed.	Elle a rougi.
Tom voted.	Tom choisissait.
I inhaled.	J’ai inspiré.
I went inside.	J'y suis entré.
What a loser!	Quel raté !
You're old.	Tu es vieux.
That's my cat.	C'est mon chat.
You are early.	Tu es en avance.
Think again.	Réfléchis-y encore.
Make a guess.	Hasarde une hypothèse !
She kicked him.	Elle lui donna un coup de pied.
I'm so tired.	Je suis si fatigué.
Call your son.	Appelle ton fils.
I'm going bald.	Je deviens chauve.
Tom refused.	Tom a refusé.
I love horses.	J'adore les chevaux.
I felt bad.	Je me suis senti mal.
I have won.	Je suis gagnant.
Try to find it.	Tentez de le trouver.
Be friendly.	Sois amical !
Everyone ate.	Tout le monde a mangé.
Tom is devoted.	Tom est dévoué.
Please get Tom.	Allez chercher Tom, s'il vous plaît.
Don't tease me.	Ne me taquine pas !
You seem busy.	Vous semblez occupé.
I'm done.	J'en ai fini.
Shut up!	La ferme !
It has to stop.	Ça doit s'arrêter.
He touched me.	Il m'a touché.
Who is it?	Qui est-il ?
They sweated.	Elles ont transpiré.
My plan worked.	Mon plan a fonctionné.
Tom won't know.	Tom ne saura pas.
Can I touch it?	Puis-je le toucher ?
Tom is wise.	Tom est raisonnable.
Tom got busy.	Tom s'est mis au travail.
Be cheerful.	Soyez heureuse.
Get rid of Tom.	Débarrassez-vous de Tom.
Be careful.	Sois prudente !
Tom's hurt.	Tom est blessé.
Stop shouting.	Arrêtez de crier.
Get out of bed.	Sors du lit !
Loosen up.	Détends-toi !
It's green.	C'est vert.
He liked that.	Il a apprécié cela.
They found out.	Elles l'ont démasqué.
The birds sang.	Les oiseaux chantaient.
It's not safe.	Ce n'est pas sûr.
I love kids.	J'adore les enfants.
I hope so.	J'espère bien.
Open up.	Ouvre-moi !
We're trying.	Nous essayons.
We all quit.	Nous arrêtons tous.
Tom's winning.	Tom gagne.
Is that a bat?	S'agit-il d'une chauve-souris ?
Let me explain.	Laisse-moi expliquer.
Do I annoy you?	Est-ce que je t'agace ?
You've won.	Vous l'avez emporté !
Check these out.	Regarde celles-ci !
I will testify.	Je témoignerai.
I'll help you.	Je vous aiderai.
Drop it!	Laissez tomber !
That's the law.	C'est la loi.
Someone called.	Quelqu'un a téléphoné.
I was careless.	J'étais insouciant.
Am I boring you?	Est-ce que je vous ennuie ?
Be nice.	Sois gentil !
Aim high.	Visez haut.
I love you.	Je t'aime !
I'm very busy.	Je suis fort occupée.
It's all over.	C'est complètement terminé.
Let me talk.	Laisse-moi parler.
It's a big one.	C'en est un gros.
She walks.	Elle marche.
May I eat this?	Puis-je manger ceci ?
Are you injured?	Es-tu blessée ?
Are you envious?	Êtes-vous jaloux ?
Tom walked in.	Tom entra.
I had some fun.	Je me suis marrée.
You're safe.	Tu es sauve.
Please stop.	Merci d'arrêter.
My feet hurt.	Mes pieds me font mal.
Tom's packing.	Tom fait ses valises.
Send Tom in.	Fais entrer Tom.
I love soup.	J'adore la soupe.
I was bluffing.	J'étais en train de bluffer.
It may be true.	Cela peut être vrai.
What a tragedy!	Quelle tragédie !
Tom is similar.	Tom est pareil.
We have a pool.	Nous avons une piscine.
Get back here.	Reviens ici !
I've decided.	J'ai décidé.
I said yes.	J'ai dit oui.
Don't be upset.	Ne sois pas contrariée !
You're lying.	Vous mentez.
I was crushed.	Je fus écrasé.
Come back here.	Revenez ici !
I must fix it.	Je dois le réparer.
Let's hope not.	Espérons que non.
He advises us.	Il nous conseille.
Tom loved you.	Tom vous aimait.
I can't sing.	Je ne sais pas chanter.
This is a pen.	C'est un stylo à encre.
I went aboard.	Je suis monté à bord.
They left.	Elles sont parties.
Face facts!	Rendez-vous à l'évidence.
I owe you one.	Je t'en dois une.
We had to stop.	Il nous fallait cesser.
I'm hungry now.	J'ai maintenant faim.
Tom's alive.	Tom est en vie.
I paid.	Je payai.
I'm very upset.	Je suis fort contrarié.
He counts fast.	Il compte vite.
See you soon!	À tout à l'heure !
Are you lonely?	Êtes-vous esseulé ?
I was good.	J'ai été bon.
Red is better.	Le rouge est mieux.
I'm a student.	Je suis étudiant.
You're early.	Vous êtes matinal.
Can he see us?	Peut-il nous voir ?
Tom hates Mary.	Tom déteste Mary.
Tom listens.	Tom écoute.
Do it quickly.	Fais-le vite !
I'll be direct.	Je serai directe.
He's an author.	Il est auteur.
Just trust me.	Fais-moi juste confiance !
Come at once.	Viens ici immédiatement.
Did I say that?	Ai-je dit cela ?
Did I drop that?	Ai-je fait tomber ça ?
I hurried.	Je me suis précipité.
You're good.	Tu es bon.
Please do that.	Fais ça, s'il te plaît !
Where are you?	Où es-tu ?
Tom is touchy.	Tom est susceptible.
It was magical.	C'était magique.
We need to go.	Nous devons partir.
Look it up.	Cherche-le !
You woke me.	Vous m'avez réveillée.
Help Tom out.	Encourage Tom !
I saw the file.	J'ai vu le fichier.
I'm a member.	Je suis membre.
I have to stop.	Il me faut cesser.
I must hurry.	Je dois me dépêcher.
I need time.	J'ai besoin de temps.
This is water.	C'est de l'eau.
Let's talk.	Discutons !
Keep writing.	Continue à écrire.
Please come in.	Veuillez entrer.
Follow us.	Suis-nous !
You screwed up.	T'as merdé.
You seem happy.	Tu sembles heureux.
I crashed.	Je me suis écrasée.
Stay still.	Ne bouge pas.
I froze.	Je me suis figée.
That's no fun.	C'est pas marrant.
We're even.	Nous sommes à égalité.
Did Tom call?	Est-ce que Tom a appelé ?
I'm eating now.	Je suis en train de manger.
I'm brave.	Je suis brave.
I can't leave.	Je ne peux pas partir.
Stop pushing.	Arrêtez de pousser.
Are you relaxed?	Êtes-vous détendue ?
I like yellow.	J'aime le jaune.
I'm just tired.	Je suis simplement fatigué.
I'm diplomatic.	Je suis diplomate.
How old is he?	Quel âge a-t-il ?
So long.	À plus tard !
They're done.	Ils ont terminé.
I have the key.	J'ai la clé.
Is it damaged?	Est-ce endommagé ?
